ID,tipo_producto,temp_idx,Sex,inception_date,birth_date,sum_insured,tariff_grp,country,reins_name,annual_prem,prem_frecuency,comission_precentage
85,Temporal,4,Male,17/06/2021,12/04/1950,966519,3,Chile,Partner Re,18000.53,Mensual,11.7
86,Temporal,5,Male,23/10/2020,22/08/1950,860536,4,Argentina,Partner Re,39984.84,Semestral,12.4
87,Temporal,3,Male,26/04/2024,11/06/1975,18082,4,Ecuador,Berkshire Re,35178.24,Mensual,9.2
88,Vitalicio,,Male,13/12/2022,03/03/1965,996846,8,Argentina,SCOR,37905.63,Mensual,8
89,Vitalicio,,Male,13/05/2021,27/11/1981,768416,2,Peru,SCOR,15103.21,Anual,19.9
90,Temporal,1,Female,26/05/2020,30/10/1981,61600,7,Uruguay,SCOR,26996.27,Anual,23.4
91,Vitalicio,,Male,01/03/2022,06/12/1982,573312,6,Mexico,Hannover Re,42375.48,Mensual,12.3
92,Temporal,1,Female,14/04/2020,29/12/1986,390715,7,Brasil,Lloyds,20006.33,Anual,17.6
93,Vitalicio,,Male,16/09/2024,30/09/1983,699894,9,Argentina,SCOR,1177.97,Mensual,21.2
94,Temporal,1,Male,17/06/2024,17/02/1969,645807,5,Brasil,Partner Re,49029.6,Trimestral,18.9
95,Vitalicio,,Male,07/10/2021,09/12/1969,493812,5,Ecuador,Lloyds,19280.82,Anual,17.1
96,Temporal,5,Male,16/04/2023,03/08/1986,459210,8,Ecuador,Hannover Re,49711.39,Mensual,19.2
97,Vitalicio,,Male,18/06/2024,15/01/1964,356386,10,Ecuador,Everest Re,4815.01,Anual,19.1
98,Vitalicio,,Male,30/05/2023,16/02/1950,378143,5,Mexico,Partner Re,23342.14,Semestral,19.2
99,Vitalicio,,Male,18/03/2021,04/08/1990,227975,3,Argentina,Everest Re,20736.95,Semestral,10
100,Vitalicio,,Female,02/12/2022,23/08/1963,870647,4,Peru,Lloyds,29583.98,Semestral,10.6
101,Vitalicio,,Male,21/09/2022,30/03/1967,36191,5,Mexico,Berkshire Re,27936.29,Anual,24.2
102,Temporal,5,Female,15/04/2023,05/12/1960,745157,3,Chile,Partner Re,23100.95,Mensual,21.9
103,Temporal,5,Female,24/08/2022,22/04/1973,244814,4,Brasil,Everest Re,27190.64,Mensual,9.4
104,Temporal,2,Male,07/03/2022,17/08/1957,341618,6,Uruguay,Munich Re,33487.15,Anual,18.5
105,Vitalicio,,Male,27/04/2022,24/11/1959,940750,3,Argentina,Swiss Re,3079.4,Anual,7.8
106,Vitalicio,,Female,16/02/2024,20/12/1965,528878,9,Chile,Everest Re,26147.31,Semestral,17.7
107,Temporal,5,Male,09/05/2022,21/01/1987,796616,5,Mexico,Partner Re,5034.58,Mensual,13.5
108,Temporal,1,Male,18/12/2020,07/01/1978,652486,6,Uruguay,Munich Re,22318.83,Trimestral,23.7
109,Vitalicio,,Female,15/06/2023,10/02/1966,60621,8,Peru,Partner Re,25166.77,Mensual,14.7
110,Temporal,4,Male,28/07/2020,29/05/1986,163168,2,Peru,Everest Re,10937.36,Mensual,22.5
111,Temporal,1,Female,25/10/2023,07/12/1972,564665,10,Argentina,Hannover Re,544.48,Anual,9.9
112,Temporal,5,Female,19/01/2024,13/04/1955,587448,6,Uruguay,Berkshire Re,46532.4,Mensual,17.3
113,Vitalicio,,Female,30/01/2021,06/03/1954,774599,5,Chile,Hannover Re,36331.89,Semestral,17
114,Vitalicio,,Male,02/12/2023,31/01/1960,584060,1,Chile,SCOR,21984.43,Trimestral,12.5
115,Vitalicio,,Male,10/03/2023,21/04/1990,512134,9,Mexico,Partner Re,41474.09,Mensual,15.8
116,Temporal,1,Female,10/07/2022,16/08/1988,987324,5,Argentina,Everest Re,49793.55,Trimestral,5.7
117,Temporal,1,Male,09/12/2020,24/06/1964,27693,1,Uruguay,SCOR,44206.74,Semestral,14.1
118,Temporal,1,Female,31/05/2023,20/10/1987,876884,5,Brasil,Hannover Re,19899.16,Semestral,20.7
119,Vitalicio,,Female,07/11/2022,17/03/1955,783774,6,Mexico,Swiss Re,35534.55,Semestral,21.2
120,Vitalicio,,Male,15/11/2023,20/11/1975,61944,4,Colombia,Swiss Re,27023.56,Semestral,11.2
121,Vitalicio,,Female,05/02/2021,02/06/1965,504552,4,Chile,Berkshire Re,27044.85,Mensual,15.1
122,Temporal,3,Male,18/02/2022,14/08/1963,53573,4,Uruguay,SCOR,1896.19,Mensual,18.8
123,Temporal,3,Male,08/08/2024,10/09/1983,658946,6,Mexico,Munich Re,49784.4,Trimestral,8.1
124,Temporal,4,Female,13/12/2021,12/05/1976,316631,7,Mexico,Swiss Re,1403.88,Trimestral,18.5
125,Temporal,4,Female,22/07/2021,09/06/1953,393129,5,Colombia,SCOR,21084.16,Trimestral,9.9
126,Vitalicio,,Male,29/06/2024,24/12/1981,480140,6,Peru,Everest Re,1137,Semestral,15.3
127,Temporal,1,Female,07/10/2022,13/02/1978,966032,5,Argentina,Hannover Re,13717.45,Trimestral,24.3
128,Vitalicio,,Male,05/06/2021,25/12/1960,578925,9,Ecuador,SCOR,10870.65,Trimestral,22.9
129,Vitalicio,,Female,26/08/2023,18/11/1978,642148,9,Uruguay,Swiss Re,37744.38,Trimestral,24.9
130,Vitalicio,,Male,02/12/2020,02/07/1966,118907,3,Colombia,Berkshire Re,7515.39,Mensual,23.3
131,Temporal,1,Female,01/08/2022,01/12/1976,685274,5,Uruguay,Lloyds,2572.19,Mensual,20
132,Vitalicio,,Male,09/03/2024,23/03/1958,747677,2,Chile,Everest Re,6320.49,Semestral,15.8
133,Vitalicio,,Female,05/06/2024,13/02/1961,508436,3,Mexico,Munich Re,26321.31,Mensual,12.2
134,Temporal,2,Male,29/10/2021,18/02/1950,997199,1,Mexico,Munich Re,19951.48,Anual,11.6
135,Vitalicio,,Female,17/03/2024,28/10/1954,863503,10,Mexico,Munich Re,32049.17,Anual,14.2
136,Temporal,4,Female,12/04/2020,10/04/1977,724001,1,Ecuador,SCOR,20819.45,Trimestral,18.6
137,Temporal,5,Male,29/09/2024,14/09/1990,264566,8,Mexico,Munich Re,18091.59,Anual,19.4
138,Vitalicio,,Female,19/04/2020,21/08/1980,95865,5,Chile,SCOR,17178.78,Anual,10.3
139,Vitalicio,,Male,06/07/2021,03/06/1985,754978,3,Argentina,Everest Re,34616.73,Anual,14.7
140,Temporal,4,Male,19/10/2022,24/12/1983,430881,9,Uruguay,Lloyds,811.16,Trimestral,9.5
141,Temporal,1,Female,13/06/2023,26/04/1954,820271,2,Chile,SCOR,25043.51,Trimestral,20.1
142,Temporal,4,Female,07/10/2021,08/09/1953,692135,6,Brasil,Lloyds,32057.83,Trimestral,21.8
143,Vitalicio,,Male,21/12/2022,18/11/1965,382612,1,Brasil,Berkshire Re,35523.2,Trimestral,20.2
144,Temporal,4,Female,11/01/2024,17/03/1954,299040,3,Argentina,Swiss Re,30490.37,Semestral,23.4
145,Temporal,2,Male,07/10/2021,01/11/1956,384639,2,Peru,Lloyds,10455.85,Anual,21
146,Temporal,2,Male,06/12/2021,29/04/1980,556994,2,Colombia,Swiss Re,42591.38,Anual,24.9
147,Temporal,1,Female,20/08/2024,05/11/1970,422358,8,Brasil,Partner Re,43576.5,Anual,6.5
148,Vitalicio,,Female,12/04/2022,24/01/1955,760198,9,Mexico,Hannover Re,26201.53,Semestral,18.2
149,Vitalicio,,Male,23/02/2021,19/07/1961,153907,7,Mexico,Everest Re,46766.54,Anual,14.7
150,Temporal,5,Male,21/11/2020,21/02/1974,681420,9,Peru,Swiss Re,14441.62,Anual,23.6
151,Temporal,4,Female,02/04/2023,01/02/1988,613513,6,Uruguay,Lloyds,48514.01,Mensual,12.9
152,Temporal,4,Male,20/07/2021,09/05/1978,500767,8,Peru,Munich Re,18724.81,Trimestral,9.7
153,Temporal,2,Male,10/04/2024,12/09/1973,485943,1,Brasil,Hannover Re,27412.15,Mensual,22.9
154,Temporal,3,Male,13/08/2024,17/10/1957,785368,1,Brasil,SCOR,44420.45,Anual,17.7
155,Vitalicio,,Male,10/10/2021,12/07/1969,347960,5,Chile,SCOR,42095.3,Anual,16.4
156,Temporal,2,Female,16/06/2020,29/12/1956,604802,5,Chile,Berkshire Re,26238.8,Anual,12.4
157,Temporal,4,Male,02/01/2023,09/10/1956,461297,9,Ecuador,Hannover Re,17486.79,Trimestral,7.4
158,Temporal,4,Female,03/10/2022,10/07/1984,900566,1,Ecuador,Berkshire Re,17136.42,Mensual,13.1
159,Vitalicio,,Female,05/04/2022,12/08/1960,642843,3,Peru,Partner Re,18310.55,Trimestral,16.3
160,Temporal,3,Female,23/04/2021,14/02/1983,407431,10,Argentina,Partner Re,11186.77,Mensual,8
161,Vitalicio,,Female,06/05/2024,28/06/1986,967866,2,Uruguay,Munich Re,44549.04,Mensual,15.5
162,Vitalicio,,Female,29/09/2023,18/10/1970,313766,3,Colombia,Everest Re,30513.85,Semestral,14
163,Vitalicio,,Male,16/09/2020,04/06/1957,267282,6,Colombia,Lloyds,2610.73,Mensual,11.8
164,Vitalicio,,Male,02/03/2021,13/12/1968,620565,10,Chile,Lloyds,1883.98,Trimestral,17.1
165,Temporal,2,Male,20/05/2024,05/02/1951,817461,8,Brasil,Munich Re,34202.59,Semestral,15.6
166,Temporal,3,Male,05/06/2021,27/07/1962,457111,5,Colombia,Munich Re,49836.58,Anual,8.5
167,Vitalicio,,Female,15/08/2021,05/05/1975,61568,10,Chile,Swiss Re,13802.18,Semestral,11.1
168,Temporal,3,Male,29/07/2022,15/09/1950,930630,5,Argentina,Swiss Re,41976.28,Trimestral,11.2
169,Temporal,3,Male,04/03/2024,11/02/1981,758790,3,Colombia,Everest Re,40484.15,Anual,15.4
170,Vitalicio,,Male,31/05/2023,18/08/1968,819025,2,Ecuador,Everest Re,12176.36,Trimestral,9.6
171,Temporal,1,Male,30/07/2021,03/09/1985,71781,6,Mexico,Hannover Re,32964.74,Mensual,23.2
172,Temporal,2,Female,25/06/2023,05/01/1977,17003,10,Argentina,Everest Re,46487.52,Trimestral,14
173,Temporal,3,Female,25/08/2021,04/05/1968,785748,2,Mexico,Lloyds,48041.06,Trimestral,21.1
174,Vitalicio,,Male,04/09/2024,01/06/1961,402008,6,Peru,Swiss Re,10055.59,Anual,14.8
175,Vitalicio,,Male,08/02/2021,23/01/1986,746675,5,Ecuador,Everest Re,16792.95,Trimestral,11.4
176,Vitalicio,,Female,18/09/2024,06/05/1957,552193,8,Uruguay,Lloyds,30719.48,Mensual,11.2
177,Temporal,3,Male,30/04/2022,04/07/1985,642490,2,Peru,SCOR,38192.59,Trimestral,6.9
178,Temporal,5,Female,03/05/2020,29/11/1989,356896,1,Ecuador,SCOR,41712.8,Mensual,5.8
179,Vitalicio,,Male,16/01/2024,13/09/1953,128982,8,Argentina,SCOR,40539.77,Trimestral,17.1
180,Temporal,1,Male,06/01/2023,03/04/1980,902067,3,Mexico,Swiss Re,49612.74,Semestral,11.9
181,Vitalicio,,Male,27/04/2024,20/04/1982,728795,1,Chile,Lloyds,32148.82,Semestral,12.2
182,Vitalicio,,Male,18/11/2021,15/02/1958,902086,9,Uruguay,Everest Re,10857.64,Anual,10.4
183,Vitalicio,,Male,13/07/2023,20/04/1960,962749,5,Uruguay,Lloyds,5276.83,Semestral,12.5
184,Vitalicio,,Male,22/07/2023,28/08/1964,832281,8,Uruguay,Partner Re,48185.31,Anual,17.1
185,Vitalicio,,Male,14/03/2024,08/05/1975,627618,9,Argentina,Munich Re,25350.23,Trimestral,22
186,Vitalicio,,Female,25/10/2022,23/11/1950,76740,9,Peru,Partner Re,27813.36,Trimestral,13.2
187,Vitalicio,,Female,28/08/2021,23/09/1973,832090,6,Colombia,SCOR,37474.41,Anual,20.6
188,Vitalicio,,Male,10/03/2020,25/05/1966,394356,1,Peru,Swiss Re,45860.49,Mensual,15.7
189,Vitalicio,,Female,11/11/2024,15/07/1974,835949,8,Peru,Everest Re,3206.43,Anual,6.5
190,Temporal,3,Female,28/11/2021,07/07/1966,85144,7,Colombia,Everest Re,6890.75,Anual,15.5
191,Temporal,4,Female,09/09/2023,17/03/1955,359078,8,Mexico,Hannover Re,9622.6,Semestral,22.8
192,Temporal,2,Female,16/03/2021,24/11/1953,417415,5,Argentina,Swiss Re,22114.21,Anual,10.4
193,Temporal,5,Female,31/01/2022,14/04/1959,574443,2,Colombia,SCOR,7646.31,Semestral,12.7
194,Vitalicio,,Male,27/07/2024,03/06/1983,956053,9,Colombia,SCOR,49337.43,Mensual,22.2
195,Temporal,1,Female,17/01/2021,19/04/1970,765949,5,Ecuador,Swiss Re,17145.25,Trimestral,15
196,Temporal,5,Male,08/01/2021,06/01/1956,26745,10,Uruguay,Berkshire Re,39159.74,Mensual,20.5
197,Vitalicio,,Male,03/09/2023,23/03/1986,733221,6,Colombia,Partner Re,13649.05,Anual,22.3
198,Temporal,2,Female,05/05/2022,18/10/1963,871492,2,Ecuador,Lloyds,6080.11,Anual,8.6
199,Vitalicio,,Male,22/06/2023,12/06/1982,935271,6,Mexico,Partner Re,43840.45,Anual,13.1
200,Vitalicio,,Female,17/01/2021,25/11/1953,644206,5,Brasil,Munich Re,31206.56,Semestral,6.1
201,Vitalicio,,Female,06/05/2020,27/03/1971,361261,10,Mexico,SCOR,32787.36,Mensual,24
202,Vitalicio,,Female,18/11/2020,28/01/1961,897556,10,Chile,Partner Re,39134.92,Anual,23.5
203,Temporal,5,Male,13/05/2021,21/12/1950,472190,4,Chile,Hannover Re,19494.39,Anual,11.6
204,Vitalicio,,Female,01/03/2023,19/08/1957,574688,5,Argentina,SCOR,2618.1,Anual,11.1
205,Temporal,3,Female,13/02/2023,13/10/1987,206888,3,Uruguay,Munich Re,3508.7,Trimestral,15.5
206,Temporal,3,Male,02/02/2023,10/03/1969,23201,8,Argentina,Swiss Re,20829.86,Mensual,14.7
207,Vitalicio,,Male,08/09/2024,23/07/1966,39509,1,Argentina,Partner Re,43822.17,Mensual,7.9
208,Temporal,2,Male,29/04/2022,06/06/1956,189260,10,Argentina,Swiss Re,29324.25,Anual,14.9
209,Vitalicio,,Female,19/10/2021,19/11/1968,365936,4,Argentina,Lloyds,3147.17,Mensual,12.9
210,Vitalicio,,Male,11/08/2024,27/11/1959,675149,2,Uruguay,Everest Re,38118.15,Trimestral,8.3
211,Temporal,5,Male,26/04/2021,17/08/1950,774604,4,Colombia,Berkshire Re,25135.24,Semestral,14.1
212,Temporal,5,Male,27/02/2023,04/12/1951,287542,9,Uruguay,Munich Re,29689.04,Anual,13.9
213,Vitalicio,,Female,06/05/2023,28/02/1962,730925,6,Mexico,Partner Re,32117.37,Mensual,15.4
214,Vitalicio,,Male,26/09/2022,17/03/1963,942099,7,Mexico,Swiss Re,10447.01,Mensual,15.1
215,Temporal,4,Female,13/07/2021,25/11/1968,377644,1,Ecuador,Berkshire Re,16794.86,Mensual,18.7
216,Temporal,1,Male,22/02/2022,31/03/1972,80518,3,Colombia,Lloyds,40799.43,Trimestral,16
217,Temporal,2,Female,20/03/2021,21/01/1986,834657,5,Argentina,Berkshire Re,22365.58,Trimestral,18.8
218,Temporal,2,Female,20/10/2023,11/05/1955,137644,9,Uruguay,Munich Re,48172.15,Mensual,15.5
219,Vitalicio,,Female,14/03/2023,10/10/1965,809191,6,Chile,Partner Re,44224.82,Semestral,13.3
220,Vitalicio,,Female,14/04/2024,17/10/1959,250141,3,Peru,Swiss Re,16224.42,Anual,5.9
221,Vitalicio,,Female,22/09/2023,12/09/1963,434380,3,Peru,Partner Re,44157.26,Semestral,20.8
222,Temporal,1,Male,14/02/2022,29/04/1962,785119,1,Brasil,Partner Re,23448.37,Semestral,25
223,Vitalicio,,Female,02/06/2020,14/07/1957,471558,3,Mexico,Munich Re,13239.17,Semestral,19.7
224,Temporal,2,Male,09/09/2024,26/05/1982,999750,5,Colombia,Munich Re,2974.81,Semestral,21.6
225,Vitalicio,,Male,25/05/2022,28/02/1954,974740,6,Chile,Lloyds,3152.28,Mensual,17.2
226,Vitalicio,,Male,27/03/2020,06/07/1981,335738,7,Brasil,SCOR,11773.36,Trimestral,24
227,Vitalicio,,Female,14/09/2020,11/12/1990,405774,2,Peru,Partner Re,20200.27,Anual,23.9
228,Vitalicio,,Male,03/09/2024,01/05/1959,71509,3,Brasil,Munich Re,32517.27,Trimestral,17.7
229,Temporal,5,Male,07/04/2024,13/04/1987,132625,9,Peru,Partner Re,16817.3,Anual,18.9
230,Temporal,3,Female,28/06/2023,16/01/1954,621698,8,Mexico,SCOR,9646.74,Mensual,11.1
231,Vitalicio,,Female,13/11/2023,12/09/1967,452440,3,Peru,Swiss Re,23940.67,Semestral,17.8
232,Temporal,1,Female,31/08/2021,18/05/1950,533069,6,Brasil,Swiss Re,27208.56,Anual,17.2
233,Vitalicio,,Female,07/08/2021,19/03/1972,997687,1,Argentina,Berkshire Re,39145.53,Semestral,11.2
234,Temporal,2,Female,14/02/2022,25/11/1990,211795,5,Brasil,Everest Re,8424.04,Mensual,9.3
235,Temporal,2,Male,02/04/2020,06/08/1990,984377,1,Colombia,Lloyds,5413.43,Anual,8.4
236,Vitalicio,,Female,04/04/2023,01/06/1968,680713,2,Uruguay,Munich Re,13152.99,Trimestral,19.5
237,Temporal,1,Female,20/01/2020,27/03/1952,939600,6,Brasil,Berkshire Re,22679.59,Trimestral,16.8
238,Temporal,4,Female,18/10/2020,05/03/1979,671097,6,Mexico,Hannover Re,26150.48,Mensual,6.4
239,Temporal,5,Male,24/12/2021,07/12/1964,951688,5,Ecuador,Munich Re,8978.79,Anual,5.7
240,Vitalicio,,Male,17/12/2024,22/06/1990,258103,9,Uruguay,Hannover Re,29591.48,Semestral,21.9
241,Vitalicio,,Male,19/10/2023,07/12/1974,973038,8,Colombia,Everest Re,14643.68,Anual,20.1
242,Temporal,1,Female,09/01/2024,25/02/1983,258018,4,Argentina,Partner Re,40285.99,Mensual,17.1
243,Temporal,1,Male,05/09/2024,18/09/1965,368109,2,Argentina,Everest Re,19953.91,Anual,20.4
244,Vitalicio,,Male,13/10/2020,10/05/1980,777159,6,Colombia,Munich Re,5558.39,Mensual,24.5
245,Vitalicio,,Male,22/03/2022,17/08/1961,406000,6,Peru,Partner Re,29209.96,Trimestral,10
